choices,rts,winners
1.0,0.6809999999999999,1
1.0,0.82,1
-1.0,1.3010000000000002,1
-1.0,0.774,0
1.0,0.871,1
0.0,0.37,0
-1.0,1.098,0
-1.0,0.655,1
1.0,0.586,0
1.0,0.6629999999999999,1
1.0,1.03,1
-1.0,0.712,0
1.0,0.6699999999999999,1
-1.0,1.0950000000000002,1
1.0,0.654,0
-1.0,0.646,1
1.0,0.6749999999999999,1
-1.0,0.656,0
-1.0,0.613,0
1.0,1.1300000000000001,1
0.0,0.40800000000000003,0
1.0,0.559,0
1.0,0.734,1
1.0,0.545,0
-1.0,0.54,0
1.0,0.523,0
0.0,0.337,0
0.0,0.262,0
1.0,0.731,0
-1.0,0.572,0
-1.0,0.749,1
1.0,0.747,1
-1.0,0.577,0
